BAE  ETS   FOL   LND   LNT   PRO   SSF
3     7 	6 	  9 	3 	  4     8
4     6 	5 	  6	    7 	  4 	4 
2     5 	8 	  2 	5 	  1 	6 
2     7 	9 	  6 	5 	  2 	8 
5     8 	8 	  8	    9 	  7 	7 
5     7 	9 	  6 	6 	  5 	8 
5 	  6 	8 	  3 	9 	  2 	7 
5 	  6 	9 	  5 	9 	  5 	7 
7 	  9 	8	  7 	10 	  9 	7 
5 	  9     7 	  6	    7 	  5 	8 
1 	  4 	6 	  4 	5 	  1	    4 
5 	  4 	6 	  4	    9 	  5 	4 
5 	  8 	6 	  6	    7 	  4 	4 
2 	  5 	7 	  3 	8 	  2 	4 
2 	  7 	7 	  6 	9 	  3 	7 
1 	  1 	1 	  1 	3	  1	    2 
4 	  5 	6 	  5 	6 	  2 	4 
6 	  6 	6 	  6 	6 	  5 	4 
3 	  3 	5 	  3 	7 	  2 	4 
3 	  4 	6 	  5 	7 	  2 	4 
7 	  7 	8 	  7 	9 	  8 	8 
