Fecha	    T máx (℃)	T med (℃)	T mín (℃)	Racha máx (km/h)	Prec. (mm)
2022-04-01	   21	       19.4	        17.9           34                  0
2022-04-02	   22          19.5	        17             26                  0
2022-04-03	   23.7        19.6	        15.5           51                  5.2
2022-04-04	   20.9        18.3	        15.7           50                  3
2022-04-05	   21.8	       18.9	        16             42                  0
2022-04-06	   21.4	       18.5	        15.6           39                  0
2022-04-07	   22.5	       18.8	        15.2           36                  4.2
2022-04-08	   22.2	       19.6	        16.9           40                  0
2022-04-09	   21.9	       18.2	        14.5           32                  0
2022-04-10	   22.3	       18.6	        14.9           23                  0
2022-04-11	   23.2	       20	        16.8           34                  0
2022-04-12	   23.5	       20.9	        18.2           40                  0
2022-04-13	   23.8	       20.8	        17.8           48                  0
2022-04-14	   23.7	       20.8	        17.8           45                  0
2022-04-15	   25.4	       20.9	        16.5           34                  0
2022-04-16	   24.7	       21.3	        17.9           32                  0
2022-04-17	   26.9	       22.7	        18.5           26                  0
2022-04-18	   25	       22.2	        19.4           42                  0
2022-04-19	   22.4	       20.3	        18.3           45                  0
2022-04-20	   22.4	       19.9	        17.4           40                  0
2022-04-21	   22.9	       20.3	        17.6           36                  0
2022-04-22	   23.3	       20.3	        17.4           36                  0
2022-04-23	   22.3	       19.5	        16.8           37                  0
2022-04-24	   23.5	       20.6	        17.6           33                  0
